id,title,title_source,start,end,title_uri,ccodes,variants,types,aat_types,matches,lon,lat,geowkt,geo_source,geo_id,description,parent_name,parent_id
24,Abu Ageila,Historical Conflict Event Dataset,1956,,,EG,,battlefield,300000835,,34.1133,30.83783,,,,['Sinai War'],,
25,Abu Ageila,Historical Conflict Event Dataset,1967,,,EG,,battlefield,300000835,,34.1133,30.83783,,,,Six Day War,,
26,Abu Hamed,Historical Conflict Event Dataset,1897,,,SD,,battlefield,300000835,,33.2798188,19.5253379,,,,British-Sudan Wars,,
27,Abu Klea,Historical Conflict Event Dataset,1885,,,SD,,battlefield,300000835,,33.2912452,16.9833533,,,,British-Sudanese Wars,,
28,Abu Kru,Historical Conflict Event Dataset,1885,,,SD,,battlefield,300000835,,33.0806383,16.6399301,,,,British-Sudan Wars,,
29,Abu Tellul,Historical Conflict Event Dataset,1918,,,IL,,battlefield,300000835,,35.3566345,31.9231824,,,,['World War'],,
30,Abydos,Historical Conflict Event Dataset,-0200,,,EG,,battlefield,300000835,,31.9227288,26.1837366,,,,['Macedonian War'],,
31,Abydos,Historical Conflict Event Dataset,0989,,,EG,,battlefield,300000835,,31.9227288,26.1837366,,,,Byzantine Military Rebellions,,
32,Acajete,Historical Conflict Event Dataset,1839,,,MX,,battlefield,300000835,,-97.9522432,19.1061301,,,,Mexican Federalist Wars,,
33,Acambaro,Historical Conflict Event Dataset,1858,,,MX,,battlefield,300000835,,-100.718241,20.025105,,,,['Mexican War'],,
34,Acapulco,Historical Conflict Event Dataset,1855,,,MX,,battlefield,300000835,,-99.8236533,16.8531086,,,,Mexican Liberal Rebellion,,
35,Accra,Historical Conflict Event Dataset,1824,,,GH,,battlefield,300000835,,-0.200086,5.554828,,,,First British-Ashanti War,,
36,Accra,Historical Conflict Event Dataset,1825,,,GH,,battlefield,300000835,,-0.200086,5.554828,,,,First British Ashanti War,,
37,Acerrae,Historical Conflict Event Dataset,-0090,,,IT,,battlefield,300000835,,14.371438,40.9441091,,,,Roman Social War,,
38,Acheribe,Historical Conflict Event Dataset,1893,,,BJ,,battlefield,300000835,,2.315834,9.30769,,,,3rd Franco-Dahomean War,,
39,Ackia,Historical Conflict Event Dataset,1736,,,US,,battlefield,300000835,,-88.7379271,34.2721578,,,,Chickasaw-French War,,
40,Aclea,Historical Conflict Event Dataset,0851,,,GB,,battlefield,300000835,,0.3545853,51.4268318,,,,Viking Raids on Britain,,
41,Acomo Pueblo,Historical Conflict Event Dataset,1598,,,US,,battlefield,300000835,,-107.5910634,34.8963361,,,,Spanish Conquest of New Mexico,,
42,AcostaNu,Historical Conflict Event Dataset,1869,,,PY,,battlefield,300000835,,-57.5445587,-25.419142,,,,War of the Triple              Alliance,,
43,Acqui,Historical Conflict Event Dataset,1799,,,IT,,battlefield,300000835,,8.4670285,44.6763846,,,,French Revolutionary 2nd Coalition,,
44,Acragas,Historical Conflict Event Dataset,-0406,,,IT,,battlefield,300000835,,13.5859823,37.3094075,,,,Carthaginian-Syracusan Wars,,
45,Acragas,Historical Conflict Event Dataset,-0262,,,IT,,battlefield,300000835,,13.5859823,37.3094075,,,,['Punic War'],,
46,Acre,Historical Conflict Event Dataset,1104,,,IL,,battlefield,300000835,,35.082678,32.933052,,,,Crusader-Muslim Wars,,
47,Acre,Historical Conflict Event Dataset,1189,,,IL,,battlefield,300000835,,35.082678,32.933052,,,,Third Crusade,,
48,Acre,Historical Conflict Event Dataset,1291,,,IL,,battlefield,300000835,,35.082678,32.933052,,,,Later Crusader-Muslim Wars,,
49,Acre,Historical Conflict Event Dataset,1799,,,IL,,battlefield,300000835,,35.082678,32.933052,,,,French Revolutionary Wars,,
50,Acre,Historical Conflict Event Dataset,1840,,,IL,,battlefield,300000835,,35.082678,32.933052,,,,2nd Turko-Egyptian War,,
51,Acre,Historical Conflict Event Dataset,1831,,,IL,,battlefield,300000835,,35.082678,32.933052,,,,1st Turko-Egyptian War,,
52,Acropolis,Historical Conflict Event Dataset,1821,,,GR,,battlefield,300000835,,23.7257492,37.9715323,,,,Greek War of Independence,,
53,Acropolis,Historical Conflict Event Dataset,1826,,,GR,,battlefield,300000835,,23.7257492,37.9715323,,,,['Greek War'],,
54,Acs,Historical Conflict Event Dataset,1849,,,HU,,battlefield,300000835,,18.0103464,47.7112968,,,,Hungarian Revolutionary War,,
55,Actium,Historical Conflict Event Dataset,-0031,,,GR,,battlefield,300000835,,20.797808,38.9176738,,,,Wars of the Second Triumvirate,,
56,Aculco,Historical Conflict Event Dataset,1810,,,MX,,battlefield,300000835,,-99.8275861,20.0985989,,,,Mexican War of Independence,,
57,Acultzingo,Historical Conflict Event Dataset,1862,,,MX,,battlefield,300000835,,-97.3077659,18.7156563,,,,Mexican-French War,,
58,Adairsville,Historical Conflict Event Dataset,1864,,,US,,battlefield,300000835,,-84.9341093,34.3687021,,,,American Civil War,,
59,Adana,Historical Conflict Event Dataset,0964,,,TR,,battlefield,300000835,,35.3308285,36.9914194,,,,Later Byzantine-Muslim Wars,,
60,Adas,Historical Conflict Event Dataset,1775,,,IN,,battlefield,300000835,,72.9436393,22.4952782,,,,Maratha Wars of Succession,,
61,Adas(nd),Historical Conflict Event Dataset,1775,,,IN,,battlefield,300000835,,72.9436393,22.4952782,,,,1st British Maratha War,,
62,Adasa,Historical Conflict Event Dataset,-0161,,,IL,,battlefield,300000835,,35.1230051,31.877519,,,,['Maccabean War        '],,
63,Adda,Historical Conflict Event Dataset,-0223,,,IT,,battlefield,300000835,,9.3249373,45.8012456,,,,Gallic Wars in Italy,,
64,Adda,Historical Conflict Event Dataset,0490,,,IT,,battlefield,300000835,,9.3249373,45.8012456,,,,Goth invasion of Italy,,
65,Ad Decimum,Historical Conflict Event Dataset,0533,,,TN,,battlefield,300000835,,10.3137703,36.8592738,,,,Vandal War in Africa,,
66,Addis Ababa,Historical Conflict Event Dataset,1936,,,ET,,battlefield,300000835,,38.7577605,8.9806034,,,,2nd Italo-Ethiopian War,,
67,Addis Ababa,Historical Conflict Event Dataset,1941,,,ET,,battlefield,300000835,,38.7577605,8.9806034,,,,['World War II'],,
68,Addis Ababa,Historical Conflict Event Dataset,1991,,,ET,,battlefield,300000835,,38.7577605,8.9806034,,,,2nd Ethiopian Civil War,,
69,Aden,Historical Conflict Event Dataset,1513,,,YE,,battlefield,300000835,,45.0186548,12.7854969,,,,Portuguese Wars in Africa,,
70,Aden,Historical Conflict Event Dataset,1839,,,YE,,battlefield,300000835,,45.0186548,12.7854969,,,,Anglo-Arab Wars,,
71,Aden,Historical Conflict Event Dataset,1986,,,YE,,battlefield,300000835,,45.0186548,12.7854969,,,,Yemeni Civil Wars,,
72,Aden,Historical Conflict Event Dataset,1994,,,YE,,battlefield,300000835,,45.0186548,12.7854969,,,,Yemeni Civil Wars,,
73,Adibo,Historical Conflict Event Dataset,1896,,,GH,,battlefield,300000835,,0.0229168,9.3069629,,,,German Colonial Wars in Africa,,
74,Adige,Historical Conflict Event Dataset,-0102,,,IT,,battlefield,300000835,,10.3153889,45.9056808,,,,Rome's Gallic Wars,,
75,Adigrat,Historical Conflict Event Dataset,1935,,,ET,,battlefield,300000835,,39.460833,14.276944,,,,2nd Italo-Ethiopian War,,
76,Adiliya,Historical Conflict Event Dataset,1218,,,EG,,battlefield,300000835,,31.7546821,31.3948239,,,,5th Crusade,,
77,Admagetobriga,Historical Conflict Event Dataset,-0061,,,FR,,battlefield,300000835,,5.1965099,46.8278005,,,,Rome's Later Gallic Wars,,
78,Admin Box,Historical Conflict Event Dataset,1944,,,MM,,battlefield,300000835,,91.5459743,21.647067,,,,['World War II'],,
79,Admiralty Islands,Historical Conflict Event Dataset,1944,,,PG,,battlefield,300000835,,146.8760951,-2.0941169,,,,['World War II'],,
80,Adobe Walls,Historical Conflict Event Dataset,1864,,,US,,battlefield,300000835,,-103.6033842,29.4035274,,,,Comanche Indian Wars,,
81,Adobe Walls,Historical Conflict Event Dataset,1874,,,US,,battlefield,300000835,,-103.6033842,29.4035274,,,,['Indian War       '],,
82,Adowa,Historical Conflict Event Dataset,1896,,,ET,,battlefield,300000835,,38.8937176,14.1636465,,,,1st Italo-Ethiopian War,,
83,Adowa,Historical Conflict Event Dataset,1935,,,ET,,battlefield,300000835,,38.8937176,14.1636465,,,,2nd Italo-Ethiopian War,,
84,Adranum,Historical Conflict Event Dataset,-0344,,,IT,,battlefield,300000835,,14.8326154,37.6627555,,,,['Timoleons War'],,
85,Adrianople,Historical Conflict Event Dataset,0324,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,Roman Wars of Succession,,
86,Adrianople,Historical Conflict Event Dataset,0378,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,5th Gothic War,,
87,Adrianople,Historical Conflict Event Dataset,0718,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,Early Byzantine-Muslim Wars,,
88,Adrianople,Historical Conflict Event Dataset,1205,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,Bulgarian Imperial Wars,,
89,Adrianople,Historical Conflict Event Dataset,1255,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,Bulgarian Imperial Wars,,
90,Adrianople,Historical Conflict Event Dataset,1355,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,Serbian Imperial Wars,,
91,Adrianople,Historical Conflict Event Dataset,1362,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,Byzantine-Ottoman Wars,,
92,Adrianople,Historical Conflict Event Dataset,1829,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,Russo-Turkish Wars,,
93,Adrianople (nd),Historical Conflict Event Dataset,1913,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,2nd Balkan (Inter-Allied) War,,
94,Adrianople,Historical Conflict Event Dataset,1912,,,TR,,battlefield,300000835,,26.5557145,41.6771297,,,,['Balkan War'],,
95,Ad Salices,Historical Conflict Event Dataset,0377,,,RO,,battlefield,300000835,,29.1896499,45.0260948,,,,['Gothic War'],,
96,Aduatuca,Historical Conflict Event Dataset,-0057,,,BE,,battlefield,300000835,,5.47449,50.78419,,,,Rome's Later Gallic Wars,,
97,Aduatuca,Historical Conflict Event Dataset,-0054,,,BE,,battlefield,300000835,,5.47449,50.78419,,,,Rome's Later Gallic Wars,,
98,Adwalton Moor,Historical Conflict Event Dataset,1643,,,GB,,battlefield,300000835,,-1.6545698,53.7513517,,,,British Civil Wars,,
99,Adys,Historical Conflict Event Dataset,-0256,,,TN,,battlefield,300000835,,10.0716216,36.5699201,,,,['Punic War'],,
100,Aegates Islands,Historical Conflict Event Dataset,-0241,,,IT,,battlefield,300000835,,12.3102733,37.9268742,,,,"['Punic War', 'the   1st Punic War']",,
101,Aegelsthrep,Historical Conflict Event Dataset,0456,,,GB,,battlefield,300000835,,0.4654656,51.2993555,,,,Anglo-Saxon Conquest of Britain,,
102,Aegina,Historical Conflict Event Dataset,-0458,,,GR,,battlefield,300000835,,23.5014213,37.7408815,,,,1st Peleponesian War,,
103,Aegospotami,Historical Conflict Event Dataset,-0405,,,TR,,battlefield,300000835,,26.6699512,40.315204,,,,Great Peleponesian War,,
104,Aelia,Historical Conflict Event Dataset,0133,,,IL,,battlefield,300000835,,34.9543762,31.7767018,,,,Bar-Cocheba's Revolt,,
105,Aesis,Historical Conflict Event Dataset,-0082,,,IT,,battlefield,300000835,,13.2463797,43.5270861,,,,Sullan Civil War,,
106,Afabet,Historical Conflict Event Dataset,1988,,,ER,,battlefield,300000835,,38.689675,16.1938578,,,,['Eritrean War'],,
107,Afyon,Historical Conflict Event Dataset,1922,,,TR,,battlefield,300000835,,30.5387038,38.7568852,,,,2nd Greco-Turkish War,,
108,Agagia,Historical Conflict Event Dataset,1916,,,EG,,battlefield,300000835,,25.8901949,31.6073309,,,,['World War I'],,
109,Agathocles,Historical Conflict Event Dataset,-0204,,,TN,,battlefield,300000835,,10.0636103,37.0629864,,,,2nd Punic War,,
110,Agendicum,Historical Conflict Event Dataset,-0052,,,FR,,battlefield,300000835,,3.28268,48.20065,,,,Rome's Later Gallic Wars,,
111,Aghdash Awkh,Historical Conflict Event Dataset,1831,,,AZ,,battlefield,300000835,,47.467431,40.6335427,,,,Russian Conquest of the Caucasus,,
112,Agincourt,Historical Conflict Event Dataset,1415,,,FR,,battlefield,300000835,,2.1230554,50.4629634,,,,['Years War'],,
113,Aginnum,Historical Conflict Event Dataset,-0107,,,FR,,battlefield,300000835,,0.616363,44.203142,,,,Rome's Gallic Wars,,
114,Agnadello,Historical Conflict Event Dataset,1509,,,IT,,battlefield,300000835,,9.5622868,45.4464181,,,,War of the League of Cambrai,,
115,Agordat,Historical Conflict Event Dataset,1893,,,ER,,battlefield,300000835,,37.8777561,15.5406754,,,,Italo-Sudanese Wars,,
116,Agordat,Historical Conflict Event Dataset,1941,,,ER,,battlefield,300000835,,37.8777561,15.5406754,,,,['World War II'],,
117,Agra,Historical Conflict Event Dataset,1713,,,IN,,battlefield,300000835,,78.0080745,27.1766701,,,,Mughal Wars of Succession,,
118,Agra,Historical Conflict Event Dataset,1787,,,IN,,battlefield,300000835,,78.0080745,27.1766701,,,,Mughal-Maratha War,,
119,Agra,Historical Conflict Event Dataset,1799,,,IN,,battlefield,300000835,,78.0080745,27.1766701,,,,Maratha Territorial Wars,,
120,Agra,Historical Conflict Event Dataset,1803,,,IN,,battlefield,300000835,,78.0080745,27.1766701,,,,2nd British-Maratha War,,
121,Agra,Historical Conflict Event Dataset,1857,,,IN,,battlefield,300000835,,78.0080745,27.1766701,,,,Indian Mutiny,,
122,Agua Dulce Creek,Historical Conflict Event Dataset,1836,,,US,,battlefield,300000835,,-95.9068411,36.1181097,,,,Texan War of Independence,,
123,Agua Prieta,Historical Conflict Event Dataset,1915,,,MX,,battlefield,300000835,,-109.5855873,31.3115272,,,,Mexican Revolution,,
124,Aguascalientes,Historical Conflict Event Dataset,1915,,,MX,,battlefield,300000835,,-102.2915677,21.8852562,,,,Mexican Revolution,,
125,Ahmadabad,Historical Conflict Event Dataset,1572,,,IN,,battlefield,300000835,,72.5713621,23.022505,,,,Mughal Conquest of Northern India,,
126,Ahmadabad,Historical Conflict Event Dataset,1780,,,IN,,battlefield,300000835,,72.5713621,23.022505,,,,1st British-Maratha War,,
127,Ahmad Khel,Historical Conflict Event Dataset,1880,,,AF,,battlefield,300000835,,69.6412452,33.8333322,,,,2nd British-Afghan War,,
128,Ahmadnagar,Historical Conflict Event Dataset,1596,,,IN,,battlefield,300000835,,74.7495916,19.0952075,,,,Mughal-Ahmadnagar Wars,,
129,Ahmadnagar,Historical Conflict Event Dataset,1600,,,IN,,battlefield,300000835,,74.7495916,19.0952075,,,,Mughal-Ahmadnagar Wars,,
130,Ahmadnagar,Historical Conflict Event Dataset,1803,,,IN,,battlefield,300000835,,74.7495916,19.0952075,,,,2nd British-Maratha War,,
131,Ahnai Tangi,Historical Conflict Event Dataset,1920,,,PK,,battlefield,300000835,,70.0134471,32.5125063,,,,Waziristan Campaign,,
132,Ahualalco,Historical Conflict Event Dataset,1858,,,MX,,battlefield,300000835,,-101.1665993,22.3997407,,,,['Mexican War'],,
133,Ahwaz,Historical Conflict Event Dataset,1915,,,IR,,battlefield,300000835,,48.6706187,31.3183272,,,,['World War'],,
134,Ahwaz,Historical Conflict Event Dataset,1980,,,IR,,battlefield,300000835,,48.6706187,31.3183272,,,,['Iraq-Iran War'],,
135,Aibar,Historical Conflict Event Dataset,1452,,,ES,,battlefield,300000835,,-1.3601865,42.5931438,,,,Spanish War of Succession,,
136,Aiguillon,Historical Conflict Event Dataset,1346,,,FR,,battlefield,300000835,,0.338664,44.301656,,,,Hundred Years of War,,
137,Aigun,Historical Conflict Event Dataset,1900,,,CN,,battlefield,300000835,,126.643383,49.2733031,,,,['Russo-Chinese War                      '],,
138,Ain Diar,Historical Conflict Event Dataset,0744,,,SY,,battlefield,300000835,,36.9579885,33.3049506,,,,Muslim Civil Wars,,
139,Ain Jalut,Historical Conflict Event Dataset,1260,,,IL,,battlefield,300000835,,35.355873,32.548622,,,,Mongol Invasion of the Middle East,,
140,Ain Tamar,Historical Conflict Event Dataset,0634,,,IQ,,battlefield,300000835,,43.4746322,32.5675355,,,,Muslim Conquest of Iraq,,
141,Ain Zara,Historical Conflict Event Dataset,1911,,,LY,,battlefield,300000835,,13.2579122,32.8166842,,,,Italo-Turkish War,,
142,Aire,Historical Conflict Event Dataset,1710,,,FR,,battlefield,300000835,,2.3261279,50.645735,,,,War of the Spanish Succession,,
143,Aire,Historical Conflict Event Dataset,1814,,,FR,,battlefield,300000835,,-0.326149,43.6933099,,,,Napoleonic Wars,,
144,Airolo,Historical Conflict Event Dataset,1799,,,CH,,battlefield,300000835,,8.6123746,46.5286074,,,,French Revolutionary Wars (2nd Coalition),,
145,Aisne,Historical Conflict Event Dataset,-0057,,,FR,,battlefield,300000835,,3.4417368,49.4769199,,,,Rome's Later Gallic Wars,,
146,Aisne,Historical Conflict Event Dataset,1914,,,FR,,battlefield,300000835,,3.3547166,49.4765586,,,,['World War I'],,
147,Aisne,Historical Conflict Event Dataset,1917,,,FR,,battlefield,300000835,,3.3547166,49.4765586,,,,['World War I'],,
148,Aisne,Historical Conflict Event Dataset,1918,,,FR,,battlefield,300000835,,3.3547166,49.4765586,,,,['World War I'],,
149,Aitape,Historical Conflict Event Dataset,1944,,,PG,,battlefield,300000835,,142.3639991,-3.1538273,,,,['World War II'],,
150,Aiwagudi,Historical Conflict Event Dataset,1696,,,IN,,battlefield,300000835,,79.6859038,12.8184766,,,,Mughal-Maratha Wars,,
151,Aix,Historical Conflict Event Dataset,1809,,,FR,,battlefield,300000835,,-4.7400057,48.248386,,,,Napoleonic Wars,,
152,Aix La Chapelle,Historical Conflict Event Dataset,1793,,,DE,,battlefield,300000835,,5.9564415,50.7596743,,,,French Revolutionary Wars (1st Coalition),,
153,Aizkraulke,Historical Conflict Event Dataset,1279,,,LV,,battlefield,300000835,,25.2431539,56.5930499,,,,Early Wars of the Teutonic Knights,,
154,Ajnadin,Historical Conflict Event Dataset,0634,,,IQ,,battlefield,300000835,,34.95,31.683333,,,,Muslim Conquest of Syria,,
155,Aka Khel,Historical Conflict Event Dataset,1920,,,PK,,battlefield,300000835,,70.1481411,33.8079054,,,,Waziristan Campaign,,
156,Akasaka,Historical Conflict Event Dataset,1331,,,JP,,battlefield,300000835,,139.7360778,35.6757238,,,,Genko War,,
157,Ake,Historical Conflict Event Dataset,1528,,,MX,,battlefield,300000835,,-89.30476,20.951131,,,,Spanish Conquest of Yucatan,,
158,Akhalkalaki,Historical Conflict Event Dataset,1810,,,GE,,battlefield,300000835,,43.4871631,41.4025151,,,,Russo-Persian Wars,,
159,Akhaltsikhe,Historical Conflict Event Dataset,1828,,,GE,,battlefield,300000835,,42.9934449,41.6434293,,,,Russo-Turkish Wars,,
160,Akhaltsikhe,Historical Conflict Event Dataset,1853,,,GE,,battlefield,300000835,,42.9934449,41.6434293,,,,['Crimean War'],,
161,Akhsikath,Historical Conflict Event Dataset,1503,,,UZ,,battlefield,300000835,,70.5203228,39.8958945,,,,Mughal-Uzbek Wars,,
162,Akhulgo,Historical Conflict Event Dataset,1839,,,RU,,battlefield,300000835,,46.4434,42.464,,,,Russian Conquest of the Caucasus,,
163,Akra,Historical Conflict Event Dataset,0721,,,IQ,,battlefield,300000835,,43.8808488,36.7411205,,,,Muslim Civil Wars,,
164,Akraba,Historical Conflict Event Dataset,0633,,,SA,,battlefield,300000835,,47.5921903,23.1110709,,,,Muslim Civil Wars,,
165,Akroinos,Historical Conflict Event Dataset,0739,,,TR,,battlefield,300000835,,30.5387038,38.7568852,,,,Early Byzantine-Muslim Wars,,
166,Aladja Dagh,Historical Conflict Event Dataset,1877,,,TR,,battlefield,300000835,,43.3282333,40.5420371,,,,Russo-Turkish Wars,,
167,Alalia,Historical Conflict Event Dataset,-0535,,,FR,,battlefield,300000835,,9.5137159,42.1151635,,,,Carthaginian-Greek Wars,,
168,Alamance Creek,Historical Conflict Event Dataset,1771,,,US,,battlefield,300000835,,-79.4253776,36.0117388,,,,American Colonial Wars,,
169,Alambagh,Historical Conflict Event Dataset,1857,,,IN,,battlefield,300000835,,80.9076582,26.8166485,,,,Indian Mutiny,,
170,Alam Halfa,Historical Conflict Event Dataset,1942,,,EG,,battlefield,300000835,,29.137764,30.7146302,,,,['World War II'],,
171,Alamo,Historical Conflict Event Dataset,1836,,,US,,battlefield,300000835,,-98.4883306,29.4259671,,,,Texan War of Independence,,
172,Alamut,Historical Conflict Event Dataset,1256,,,IR,,battlefield,300000835,,50.5858783,36.4450552,,,,Mongol Invasion of the Middle East,,
173,Aland,Historical Conflict Event Dataset,1918,,,FI,,battlefield,300000835,,19.9156105,60.1785247,,,,['Finnish War'],,
174,Alarcos,Historical Conflict Event Dataset,1195,,,ES,,battlefield,300000835,,-4.0111039,38.9572651,,,,Early Christian Reconquest of Spain,,
175,Alavus,Historical Conflict Event Dataset,1808,,,FI,,battlefield,300000835,,23.6099106,62.5864506,,,,Napoleonic Wars (Russo-Swedish War),,
176,Alazan Creek,Historical Conflict Event Dataset,1813,,,US,,battlefield,300000835,,-98.5360634,29.428461,,,,Gutierrez-Magee Expedition,,
177,Alba de Tormes,Historical Conflict Event Dataset,1809,,,ES,,battlefield,300000835,,-5.5177822,40.8263217,,,,Napoleonic Wars,,
178,Alba de Tormes,Historical Conflict Event Dataset,1812,,,ES,,battlefield,300000835,,-5.5134048,40.8263301,,,,Napoleonic Wars (Peninsula Campaign),,
179,Albania,Historical Conflict Event Dataset,1939,,,AL,,battlefield,300000835,,20.168331,41.153332,,,,"['World War II', 'World War II']",,
180,Albara,Historical Conflict Event Dataset,1097,,,SY,,battlefield,300000835,,36.539177,35.6879042,,,,1st Crusade,,
181,Albazin,Historical Conflict Event Dataset,1685,,,RU,,battlefield,300000835,,124.095291,53.383291,,,,Russia,,
182,Albermarle Sound,Historical Conflict Event Dataset,1864,,,US,,battlefield,300000835,,-76.4705667,36.0599859,,,,['Civil War'],,
183,Albert,Historical Conflict Event Dataset,1914,,,FR,,battlefield,300000835,,2.651604,50.001357,,,,['World War I'],,
184,Albert,Historical Conflict Event Dataset,1916,,,FR,,battlefield,300000835,,2.651604,50.001357,,,,['World War'],,
185,Albert,Historical Conflict Event Dataset,1918,,,FR,,battlefield,300000835,,2.651604,50.001357,,,,['World War'],,
186,Albufera,Historical Conflict Event Dataset,1812,,,ES,,battlefield,300000835,,-0.3447564,39.3388043,,,,Napoleonic Wars (Peninsula Campaign),,
187,Albuhera,Historical Conflict Event Dataset,1811,,,ES,,battlefield,300000835,,-6.8230414,38.7170277,,,,Napoleonic Wars (Peninsula Campaign),,
188,Albulen,Historical Conflict Event Dataset,1457,,,AL,,battlefield,300000835,,19.7664452,41.5032876,,,,Albanian-Turkish Wars,,
189,Albuquerque,Historical Conflict Event Dataset,1811,,,ES,,battlefield,300000835,,-7.0000241,39.2192059,,,,Napoleonic Wars (Peninsula Campaign),,
190,Alcacer do Sol,Historical Conflict Event Dataset,1158,,,PT,,battlefield,300000835,,-8.5110083,38.3725007,,,,Christian Reconquest of Portugal,,
191,Alacer do Sol,Historical Conflict Event Dataset,1217,,,PT,,battlefield,300000835,,-8.5110083,38.3725007,,,,Christian Reconquest of Portugal,,
192,Alcala,Historical Conflict Event Dataset,1340,,,ES,,battlefield,300000835,,-3.9351636,37.4601627,,,,Later Christian Reconquest of Spain,,
193,Alcala la Real,Historical Conflict Event Dataset,1810,,,ES,,battlefield,300000835,,-3.9351636,37.4601627,,,,Napoleonic Wars (Peninsula Campaign),,
194,Alcan~iz,Historical Conflict Event Dataset,1809,,,ES,,battlefield,300000835,,-0.1335373,41.0510353,,,,Napoleonic Wars (Peninsula Campaign),,
195,Alcantara,Historical Conflict Event Dataset,1580,,,PT,,battlefield,300000835,,-9.2012719,38.7111371,,,,Spanish-Portuguese War,,
196,Alcantara,Historical Conflict Event Dataset,1706,,,ES,,battlefield,300000835,,-6.8822281,39.7169271,,,,War of Spanish Succession,,
197,Alcantara,Historical Conflict Event Dataset,1809,,,ES,,battlefield,300000835,,-6.8822281,39.7169271,,,,Napoleonic Wars,,
198,Alcantra,Historical Conflict Event Dataset,1839,,,MX,,battlefield,300000835,,-101.1776096,27.5522322,,,,Mexican Federalist War,,
199,Alcazar,Historical Conflict Event Dataset,1936,,,ES,,battlefield,300000835,,-4.0225283,39.8579033,,,,['Civil War'],,
